name,slot,era,height,weight,bats,throws,hometown,birthday,blurb
Khris Davis,4,2010-present,5-11,205,Right,Right,"Lakewood, CA",12/21/1987,"In one of the most mind-boggling statistical coincidences ever seen in sports, Davis hit exactly .247 in four consecutive seasons from 2015 to 2018."
Graig Nettles,5-7,1970-2009,6-0,180,Left,Right,"San Diego, CA",8/20/1944,"In September 1974, Nettles was <a href=https://thisdayinbaseball.com/graig-nettles-will-be-suspended-for-ten-days-after-stuffing-his-bat-with-six-super-balls/ target=_blank>suspended 10 days</a> for “corking” his bat — hollowing it out and filling it with bouncy superballs."
Robin Ventura,5-7,1970-2009,6-1,185,Left,Right,"Santa Maria, CA",7/14/1967,Ventura’s <a href=https://www.youtube.com/watch?v=3aO_9X9bCKc target=_blank>most famous hit</a> was a walk-off grand slam that only counted as a single because his Mets teammates mobbed him before he could get to home plate.
Ron Cey,5-7,1970-2009,5-10,185,Right,Right,"Tacoma, WA",2/15/1948,"Cey was nicknamed “The Penguin” because his running form resembled that of a waddling, flightless Antarctic bird."
Yadier Molina,5-7,2010-present,5-11,225,Right,Right,"Bayamon, Puerto Rico",7/13/1982,"Collectively along with siblings Bengie and José, the Molina Brothers caught an astounding 4,384 major-league games behind the plate."
Brandon Crawford,5-7,2010-present,6-1,223,Left,Right,"Mountain View, CA",1/21/1987,"Crawford batted 9th when the Giants won the 2012 World Series and 8th when they won again in 2014, but later he spent the majority of his best seasons batting either 5th, 6th or 7th."
Howie Kendrick,5-7,2010-present,5-11,225,Right,Right,"Jacksonville, FL",7/12/1983,"Coming from the 5-hole in the Nats’ order, Kendrick’s go-ahead HR in the seventh inning of Game 7 in the 2019 World Series added 33 percentage points to Washington’s championship chances, making it the <a href=https://stathead.com/tiny/3JwRu target=_blank>13th-most impactful play</a> in MLB history by that measure."
Ozzie Guillén,8-9,1970-2009,5-11,150,Left,Right,"Ocumare del Tuy, Venezuela",1/20/1964,"Guillen, who later went on to manage the White Sox and Marlins, holds the career record for most games penciled into the No. 9 hole (1,185)."
Bucky Dent,8-9,1970-2009,5-11,170,Right,Right,"Savannah, GA",11/25/1951,"Dent was batting 9th for the Yankees on October 2, 1978, when he hit the HR that buried the Red Sox in the AL East tie-breaker game."
César Izturis,8-9,2010-present,5-9,180,Both,Right,"Barquisimeto, Venezuela",2/10/1980,"Izturis was a lifer in the No. 8 and 9 slots, recording 98.7% of his career PA there (73.7% in 9th and 25.0% in 8th)."
Kevin Kiermaier,8-9,2010-present,6-1,210,Left,Right,"Fort Wayne, IN",4/22/1990,"By Baseball-Reference’s accounting, <a href=https://stathead.com/tiny/7H9vN target=_blank>Kiermaier is the sixth-best defensive center fielder of all time</a>, saving 176 runs as compared with an average defender."
